,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
894,Murdoch Lee Estate Agents - Castle Hill,"2/15 Chiswick Place, Cherrybrook",Just Listed,Duplex/Semi-detached,4 bedrooms,2 bathrooms,2 parking spaces,N/A
895,Mooney Real Estate - PENRITH,"25 Dunheved Road, Cambridge Gardens","Price Guide $699,000",House,3 bedrooms,1 bathroom,2 parking spaces,668 m² land size
896,Ray White Thompson Partners - Gorokan,"30 Scenic Circle, Budgewoi","$540,000",House,4 bedrooms,1 bathroom,2 parking spaces,591 m² land size
897,Jim Aitken & Partners - Jordan Springs,"41 Mellfell Road,, Cranebrook","$599,900 - $649,900",House,3 bedrooms,1 bathroom,3 parking spaces,605 m² land size
898,Di Hosking Property Bowral,"28 Wallis Avenue, Renwick","Guide $675,000",House,3 bedrooms,2 bathrooms,2 parking spaces,453 m² land size
899,Stone Real Estate - Copacabana,"50 Undara Road, Bensville","Price Guide $690,000",House,3 bedrooms,2 bathrooms,2 parking spaces,"1,764 m² land size"
900,Property Central - ERINA,"18 Taurus Close, Kincumber","$800,000 - $830,000",House,4 bedrooms,2 bathrooms,2 parking spaces,855 m² land size
901,Upstate - Dee Why,"26 Dresden Avenue, Beacon Hill",Auction,House,5 bedrooms,3 bathrooms,3 parking spaces,563 m² land size
902,Strathfield Partners - Strathfield,"3C/10-16 Marquet Street, Rhodes",Contact Agent,Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
903,LJ Hooker - EDENSOR PARK,"15 Cable Place, Eastern Creek",EXPRESSIONS OF INTEREST,House,3 bedrooms,1 bathroom,2 parking spaces,N/A
904,Combined Real Estate - Camden & Narellan,"16 Manning Place, Currans Hill","$540,000 - $570,000",House,3 bedrooms,1 bathroom,0,641 m² land size
905,LJ Hooker - Maclean,"35 King Parrot Parade, Gulmarrad","$529,000",House,4 bedrooms,2 bathrooms,5 parking spaces,0.4 ha land size
906,One Agency - Coffs Harbour,"19 Marcia Street, Coffs Harbour","$325,000",House,3 bedrooms,1 bathroom,0,465.9 m² land size
907,Better Realty,"506/81a Lord Sheffield Circuit, Penrith","Quick Sale, Offers Welcome",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
908,Dukes Estate Agents - PENRITH,"2/10 Ferndale Avenue, Blaxland","Price $829,000",Unit,3 bedrooms,2 bathrooms,2 parking spaces,N/A
909,One Agency Downie & Denison-Pender - THIRROUL,"38 Squires Crescent, Coledale",Contact agent,House,5 bedrooms,2 bathrooms,2 parking spaces,"1,144 m² land size"
910,Tucker Real Estate - Mollymook,"21 Scorpio Grove, Narrawallee","$1,190,000 - $1,250,000",House,4 bedrooms,3 bathrooms,2 parking spaces,"1,077 m² land size"
911,Stone Real Estate - Toukley,"193-221 Allinga Road, Woongarrah",Contact Agent,House,4 bedrooms,2 bathrooms,3 parking spaces,3.04 ha land size
912,Wiseberry Kariong - KARIONG,"25 Glenworth Valley Road, Wendoree Park",Auction,House,4 bedrooms,3 bathrooms,2 parking spaces,"1,000 m² land size"
913,Richardson & Wrench  - BLACKHEATH,"12 Clyde Avenue, Blackheath","$430,000-$450,000",House,3 bedrooms,1 bathroom,3 parking spaces,385 m² land size
914,Elders Real Estate  - Penrith,"16 Sydney Smith Drive, Penrith","$689,000 - $729,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
915,Nolan Partners - Coffs Harbour,"76 Heritage Drive, Moonee Beach","$799,000 - $839,000",House,4 bedrooms,2 bathrooms,10 parking spaces,1.03 ha land size
916,First National Real Estate Caputo - Dee Why,"17/22-24 Shackel Avenue, Brookvale","For Sale Guide $590,000 - $630,000",Apartment,1 bedroom,1 bathroom,1 parking space,63 m² building size
917,Phillips Pantzer Donnelley - WOOLLAHRA,"6 Leeton Avenue, Coogee",AUCTION,House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
918,Raine & Horne - Budgewoi,"21 Sonoma Road, Budgewoi","$379,000",House,1 bedroom,1 bathroom,0,581 m² land size
919,RBR Property Consultants - Coolangatta,"1/22 Pearl Street, Tweed Heads","$415,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
920,Property Central - ERINA,"1 The Rise, Lisarow","$670,000 - $720,000",House,4 bedrooms,2 bathrooms,2 parking spaces,619 m² land size
921,Devine Real Estate - Concord,"C102/10-16 Marquet Street, Rhodes","For Sale $595,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
922,Lex & Brook Real Estate,"99 Aqueduct St, Leppington","$749,000-$799,000",House,5 bedrooms,3 bathrooms,1 parking space,N/A
923,Bresic Whitney Estate Agents -  Darlinghurst,"406 Bourke Street, Surry Hills","Buyers guide $1,600,000",House,4 bedrooms,2 bathrooms,0,139 m² land size
924,McGrath - Ballina,"4 Quail Place, Richmond Hill",Contact Agent,House,4 bedrooms,3 bathrooms,4 parking spaces,N/A
925,Tracy Roberts Real Estate - Wentworthville,"50 Bryson Street, Toongabbie","$725,000",House,3 bedrooms,1 bathroom,2 parking spaces,N/A
926,McGrath - Port Macquarie,"73 Philip Charley Drive, Port Macquarie","$765,000 - $795,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
927,Harcourts BMG - COOLANGATTA,"36 Sutherland Street, Kingscliff","$1,550,000 - $1,650,000",House,5 bedrooms,3 bathrooms,3 parking spaces,682 m² land size
928,Newton Real Estate - Caringbah,"9 Taren Road, Caringbah",New Listing,House,2 bedrooms,1 bathroom,2 parking spaces,588.1 m² land size
929,Raine & Horne - Manly,"5 Pavilion Street, Queenscliff",ENQUIRE NOW,Apartment,3 bedrooms,3 bathrooms,2 parking spaces,203 m² building size
930,The Agency Coffs Harbour - COFFS HARBOUR,"3/131 Victoria Street, Coffs Harbour","$1,995,000",Apartment,3 bedrooms,3 bathrooms,2 parking spaces,N/A
931,Callala & Culburra First National -     ,"60 Catherine Street, Myola, Callala Beach",AUCTION,House,4 bedrooms,2 bathrooms,3 parking spaces,727.2 m² land size
932,Dukes Estate Agents - PENRITH,"94 Muscatel Way, Orchard Hills",Expressions of Interest,House,7 bedrooms,7 bathrooms,5 parking spaces,"4,000 m² land size"
933,Brailey First National - Figtree,"11/4 Fisher Street, West Wollongong","$599,000-$658,000",Villa,3 bedrooms,1 bathroom,2 parking spaces,N/A
934,One Agency Neil & Helena Mani - Gosford,"102 Chamberlain Road, Wyoming",Auction,House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
935,Raine & Horne Goulburn - GOULBURN,"68 LANSDOWNE STREET, Goulburn","$429,000",House,3 bedrooms,1 bathroom,1 parking space,639 m² land size
936,Ford & Dougherty Property - GRAFTON,"3 Bryce Crescent, Lawrence","$395,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
937,Stone Real Estate Beecroft - BEECROFT,"9/6-8 Malton Road, Beecroft",Contact Agent,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
938,LJ Hooker - EDENSOR PARK,"4 Bishop Close, Green Valley","$895,000 - $945,000",House,4 bedrooms,2 bathrooms,2 parking spaces,704 m² land size
939,NSW Real Estate - Coffs Harbour,"10 Gillibri Crescent, Sawtell","$645,000",House,4 bedrooms,2 bathrooms,0,"1,043 m² land size"
940,Jim Aitken & Partners - Glenbrook,"32a Mount Street, Glenbrook","$799,000 - $849,000",Residential Land,0,0,0,929 m² land size
941,First National - West Ryde,"20/54 Meadow Crescent, Meadowbank","Price $430,000 - $470,000",Unit,1 bedroom,1 bathroom,1 parking space,N/A
942,LaneCampos - Newcastle Region,"1/92A Bridge Street, Waratah","$695,000 - $750,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
943,PRDnationwide - Hunter Valley,"26 Ellie Avenue, Raworth","$485,000 - $515,000",House,4 bedrooms,2 bathrooms,2 parking spaces,373 m² land size
944,One Agency United Real Estate - Picton ,"5 Pickard Street, Thirlmere","$325,000",Residential Land,0,0,0,N/A
945,"United Realty - Acreage, Residential, Prestige ","745 Werombi Road, Theresa Park","$1,790,000 to $1,890,000",House,3 bedrooms,2 bathrooms,6 parking spaces,6.71 ha land size
946,Chapman Real Estate - Katoomba,"6 Roosevelt Street, Leura","$610,000 - $660,000",House,3 bedrooms,1 bathroom,3 parking spaces,999 m² land size
947,Knight Frank Australia Pty Ltd - SYDNEY,"603/6 Pine Tree Lane, Terrigal",Contact Agent,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
948,The Property Market - Central Coast,"92 Webber Road, Wyee","$1,190,000 - $1,260,000",House,5 bedrooms,2 bathrooms,2 parking spaces,1.07 ha land size
949,Property Central - ERINA,"777 The Entrance Road, Wamberal","$799,000 - $830,000",House,5 bedrooms,2 bathrooms,4 parking spaces,585 m² land size
950,Viewey Real Estate - Newtown,"3 Little Commodore Street, Newtown",Contact agent | The Viewey Brothers,House,2 bedrooms,1 bathroom,0,N/A
951,Jayson Property Group - TUGGERAH,"56 Wolseley ave, Tacoma","Price Guide $539,000",House,3 bedrooms,2 bathrooms,2 parking spaces,487 m² land size
952,First National Real Estate - Morisset,"43 Asquith Avenue, Windermere Park","$570,000 - $620,000",House,3 bedrooms,2 bathrooms,4 parking spaces,696 m² land size
953,Jayson Property Group - TUGGERAH,"470 Tuggerawong Road, Tuggerawong","$759,000-$834,000",House,3 bedrooms,2 bathrooms,6 parking spaces,721 m² land size
954,Property Central 2261 - LONG JETTY,"28 Masefield Avenue, Bateau Bay","Guide $899,000",House,4 bedrooms,2 bathrooms,2 parking spaces,556 m² land size
955,Phillips Pantzer Donnelley - WOOLLAHRA,"2 Gipps Street, Bronte",Buyers Guide: $3M,House,4 bedrooms,2 bathrooms,1 parking space,400 m² land size
956,Upstate - Dee Why,"27/18 Hastings Street, Warriewood",Contact Agent,Townhouse,4 bedrooms,3 bathrooms,2 parking spaces,233 m² building size
957,McGrath - Brighton Le Sands,"26 Bonanza Parade, Sans Souci",Price guide on request,Duplex/Semi-detached,4 bedrooms,3 bathrooms,2 parking spaces,372 m² land size
958,Ray White - Goulburn,"10 Francis Street, Goulburn","$560,000 - $585,000",House,4 bedrooms,2 bathrooms,2 parking spaces,470.7 m² land size
959,Byron Shire Real Estate - Brunswick Heads,"36 Pine Ave, Mullumbimby","$680,000",House,3 bedrooms,2 bathrooms,2 parking spaces,679 m² land size
960,Purplebricks  - New South Wales ,"8 Wintle road, The Oaks",For Sale - Offers Invited!,House,4 bedrooms,2 bathrooms,2 parking spaces,975 m² land size
961,Nolan Partners - Coffs Harbour,"40/123 Park Beach Road, Coffs Harbour","$995,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
962,PRDnationwide - Newcastle/Lake Macquarie,"8 Fogo Street, Wallsend","$500,000 - $550,000",House,3 bedrooms,1 bathroom,2 parking spaces,682.9 m² land size
963,Gittoes - East Gosford,"201/80 John Whiteway Drive, Gosford","$420,000-$460,000",Unit,3 bedrooms,2 bathrooms,2 parking spaces,164 m² building size
964,PJ Murphy Real Estate,"456 Hall Avenue, Lavington","$299,000",House,4 bedrooms,1 bathroom,3 parking spaces,970 m² land size
965,McGrath - Brighton Le Sands,"1 Belmont Avenue, Penshurst","Price Guide $1,050,000 - $1,150,000",House,4 bedrooms,2 bathrooms,2 parking spaces,663 m² land size
966,Starr Partners - Merrylands,"22a Renfrew Street, Guildford","Price Guide $760,000 - $775,000",House,4 bedrooms,2 bathrooms,2 parking spaces,525.6 m² land size
967,Gerard Smith First National - Picton,"439 Thirlmere Way, Thirlmere","$899,000-$985,000",House,4 bedrooms,2 bathrooms,3 parking spaces,"3,974 m² land size"
968,Helen Hughes Property & Mi Property Group - Ettalong Beach ,"6/198 Booker Bay Road, Booker Bay","$425,000 -$465,000",Unit,1 bedroom,1 bathroom,1 parking space,N/A
969,Jim Aitken & Partners - Penrith,"4 Timber Grove, Werrington Downs","$599,000 - $649,000",House,3 bedrooms,1 bathroom,2 parking spaces,625.9 m² land size
970,Nolan Partners - Coffs Harbour,"1/23 Ocean Street, Woolgoolga","$1,050,000",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
971,Nolan Partners - Coffs Harbour,"48 Rainford Drive, Boambee","$1,595,000",House,4 bedrooms,3 bathrooms,3 parking spaces,4.05 ha land size
972,One Agency Orange,"3 Casey Street, Orange","$329,000",House,3 bedrooms,1 bathroom,1 parking space,651 m² land size
973,Visualize Group,"46 Brocklebank Street, Box Hill","Price reduction $375,000 - $399,000",Residential Land,0,0,0,304.7 m² land size
974,Ray White - South Penrith ,"5 Norfolk Road, Cambridge Park","$529,950 - $569,950",House,4 bedrooms,1 bathroom,1 parking space,695.6 m² land size
975,Samaro Property - Narellan,"21 Centennial, Ellis Lane","Buyers Range $1,495,000 to $1,595,000",Acreage,4 bedrooms,2 bathrooms,0,0.97 ha land size
976,LJ Hooker - Penrith,"5 Lyons Place, Hazelbrook",Property Showcase,House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
977,McGrath Nambucca Heads - NAMBUCCA HEADS,"12 Callistemon Place, Nambucca Heads","$185,000",Residential Land,0,0,0,551 m² land size
978,McGrath - Bankstown,"30A Cammarlie Street, Panania","$800,000",Duplex/Semi-detached,3 bedrooms,2 bathrooms,1 parking space,N/A
979,McGrath - Blacktown ,"9 Ruby Place, Seven Hills","$720,000 - $760,000",House,3 bedrooms,1 bathroom,1 parking space,645 m² land size
980,McGrath Toukley - TOUKLEY,"45 Pacific Highway, San Remo",Contact Agent,House,5 bedrooms,3 bathrooms,3 parking spaces,0.79 ha land size
981,McGrath - Terrigal,"5/157 The Round Drive, Avoca Beach",Contact Agent,House,3 bedrooms,2 bathrooms,2 parking spaces,"1,139 m² land size"
982,One Agency Engadine,"26 View Street, Miranda",Sat - 9:30am  & 1:30pm or By Appointment,House,3 bedrooms,1 bathroom,2 parking spaces,605 m² land size
983,Raine & Horne Goulburn - GOULBURN,"21 Princes Ave, Goulburn","$389,000",House,3 bedrooms,1 bathroom,2 parking spaces,854 m² land size
984,Elders Real Estate - Mildura / Wentworth / Robinvale,"28 Ryder Crescent, Wentworth","$185,000 to $200,000",House,2 bedrooms,1 bathroom,3 parking spaces,N/A
985,33Degrees Real Estate - Pitt Town,"144A Bathurst Street, Pitt Town","$750,000- $799,950",House,4 bedrooms,1 bathroom,0,835 m² land size
986,Century 21 Bathurst Region - BATHURST,"252 Durham Street, Bathurst","$415,000",House,5 bedrooms,1 bathroom,4 parking spaces,860 m² land size
987,Stone Real Estate - Toukley,"10 Salamander Road, Wadalba","Price Guide $639,990",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
988,Laing+Simmons - Narrabeen,"20/5 Carousel Close, Cromer","Guide $790,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,90 m² building size
989,PRDnationwide - Hunter Valley,"17 Boxer st, Gillieston Heights","Neg Range $500,000 - $550,000",House,4 bedrooms,2 bathrooms,2 parking spaces,575 m² land size
990,Your Agency,"290 Dobell Drive, Wangi Wangi","$830,000",House,3 bedrooms,2 bathrooms,2 parking spaces,506 m² land size
991,Neil Simon Real Estate,"1/27 Gould Drive, Lemon Tree Passage","Price Guide $500,000 - $550,000",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
992,PRDnationwide - Harvey Oatley,"65A Gungah Bay Road, Oatley",FOR SALE - OFFERS INVITED,House,5 bedrooms,4 bathrooms,2 parking spaces,390 m² land size
993,Neil Simon Real Estate,"2/27 Gould Drive, Lemon Tree Passage","Price Guide $600,000 - $660,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
994,Allcastle Homes - KELLYVILLE,"Lot 218 Mowbray Circuit, Kellyville",Contact Agent,House,5 bedrooms,3 bathrooms,2 parking spaces,435 m² land size
995,Allcastle Homes - KELLYVILLE,"Lot 168  Medlock Street, Riverstone","$829,950",House,4 bedrooms,3 bathrooms,2 parking spaces,300.2 m² land size
996,PRDnationwide - Hunter Valley,"363 Camp Rd, Greta","Neg Range $750,000 to $790,000",House,4 bedrooms,2 bathrooms,5 parking spaces,0.4 ha land size
997,PRDnationwide - Hunter Valley,"3 Cessnock Rd, Weston","Neg Range $300,000 - $330,000",House,3 bedrooms,1 bathroom,2 parking spaces,354 m² land size
998,Allcastle Homes - KELLYVILLE,"Lot 1291 Private Circuit, Jordan Springs",expressions of interest completed new home,House,4 bedrooms,3 bathrooms,2 parking spaces,329.5 m² land size
999,Allcastle Homes - KELLYVILLE,"Lot 464  Ballinger Avenue, Riverstone",Just Listed,House,4 bedrooms,3 bathrooms,2 parking spaces,300 m² land size
1000,Allcastle Homes - KELLYVILLE,"Lot 120 Changsha Road, Edmondson Park",Price on Request,House,6 bedrooms,4 bathrooms,2 parking spaces,450.1 m² land size
1001,Harcourts - WEST RYDE,"52 Wildflower Circle, Jordan Springs","Price Guide $900,000",House,6 bedrooms,3 bathrooms,6 parking spaces,522 m² land size
1002,LJ Hooker - Bateau Bay,"79 Bonnieview Street, Shelly Beach",Contact Agent,House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1003,Century 21 Curtis & Blair,"75 Sunningdale Circuit, Medowie","$790,000 to    $819,000",House,4 bedrooms,2 bathrooms,2 parking spaces,980 m² land size
1004,Century 21 Curtis & Blair,"71 Sunningdale Circuit, Medowie","$790,000 to    $819,000",House,4 bedrooms,2 bathrooms,2 parking spaces,980 m² land size
1005,Century 21 Curtis & Blair,"67 Sunningdale Circuit, Medowie","$790,000 to    $819,000",House,4 bedrooms,2 bathrooms,2 parking spaces,980 m² land size
1006,Musgrove Realty,"Lot 101 Watagan Creek Road, Laguna","$550,000 - $600,000",Lifestyle,0,0,0,54.36 ha land size
1007,Allcastle Homes - KELLYVILLE,"Lot 2217 Wilcox, Marsden Park",Ready To Move In,House,5 bedrooms,3 bathrooms,2 parking spaces,497.5 m² land size
1008,Allcastle Homes - KELLYVILLE,"Lot 48 Lacerta Road, Austral","$699,950",House,4 bedrooms,3 bathrooms,1 parking space,280 m² land size
1009,Allcastle Homes - KELLYVILLE,"Lot 137 Farnsworth Road, Kellyville",expressions of intrest completed new home,House,4 bedrooms,3 bathrooms,2 parking spaces,375.3 m² land size
1010,Bresic Whitney Estate Agents -  Darlinghurst,"1/29-35 Roslyn Gardens, Elizabeth Bay","Buyers guide $1,100,000",Apartment,2 bedrooms,1 bathroom,1 parking space,90 m² building size
1011,Allcastle Homes - KELLYVILLE,"Lot 404 Bannaby Crescent, Schofields","$829,950",House,4 bedrooms,2 bathrooms,2 parking spaces,300.1 m² land size
1012,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"23 Layton Street, Wentworthville",For Sale Now or Auction,House,3 bedrooms,1 bathroom,2 parking spaces,632 m² land size
1013,Purplebricks  - New South Wales ,"50 Yetholme Avenue, Baulkham Hills",Under Offer,House,5 bedrooms,3 bathrooms,2 parking spaces,695 m² land size
1014,Cunninghams Real Estate,"31 Surfers Parade, Freshwater",Auction,House,2 bedrooms,1 bathroom,0,405 m² land size
1015,Phillips Pantzer Donnelley - WOOLLAHRA,"8/172-180 Clovelly Road, Randwick",Buyers Guide - $1.4m,Apartment,3 bedrooms,2 bathrooms,1 parking space,N/A
1016,Cunninghams Real Estate,"15 Highview Avenue, Manly Vale","Guide $1,500,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1017,Domain Residential - NSW,"2 Burke Street, Newport",Preview,House,5 bedrooms,3 bathrooms,3 parking spaces,N/A
1018,The Agency Central Coast - Forresters Beach,"10 Ashburn Close, Lisarow",Contact agent,House,4 bedrooms,2 bathrooms,2 parking spaces,"1,095 m² land size"
1019,Ray White Coolangatta - Tweed Heads,"3/20 Thomson Street, Tweed Heads","$590,000",Unit,3 bedrooms,2 bathrooms,1 parking space,N/A
1020,Ray White - Goulburn,"1/93a Verner Street, Goulburn","Guide $490,000",House,3 bedrooms,2 bathrooms,1 parking space,N/A
1021,First National Newcastle City - The Junction,"14 Tuckeroo Circuit, Adamstown","Auction - Price Guide $1,250,000 - $1,350,000",House,4 bedrooms,2 bathrooms,2 parking spaces,553 m² land size
1022,Harcourts - Rouse Hill / Kellyville ,"33 Stanford Circuit, Rouse Hill","$900,000 - $950,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1023,Richardson & Wrench - Parramatta,"29 Johns Road, Koolewong","Buyers Guide $890,000 - $945,000",House,4 bedrooms,2 bathrooms,2 parking spaces,830 m² land size
1024,Cutcliffe Properties - MULGRAVE,"157 Single Ridge Road, The Slopes","Buyers Guide $1,350,000-$1,450,000",House,5 bedrooms,2 bathrooms,10 parking spaces,1.69 ha land size
1025,PRDnationwide - Penrith,"124 Factory Road, Regentville",Expressions of Interest,House,6 bedrooms,2 bathrooms,3 parking spaces,765 m² land size
1026,Professionals Robert Sharp Real Estate - Beverly Hills,"7 Berith Street, Kingsgrove",Auction On Site Saturday 9th February @ 3.30pm,House,3 bedrooms,1 bathroom,3 parking spaces,645 m² land size
1027,PRDnationwide - Port Stephens,"13 The Breakwater, Corlette",Forthcoming Auction,House,4 bedrooms,3 bathrooms,2 parking spaces,891 m² land size
1028,McLachlan Partners - Long Jetty,"44 Brush Road, Wamberal",$2.15M,Acreage,5 bedrooms,2 bathrooms,10 parking spaces,1.01 ha land size
1029,Raine & Horne - Mollymook / Milton,"3 Wynella Place, Milton","$970,000",House,4 bedrooms,2 bathrooms,2 parking spaces,688 m² land size
1030,Bresic Whitney Estate Agents  -  Glebe ,"3 Avona Avenue, Glebe","For Sale $1,570,000",House,3 bedrooms,3 bathrooms,0,164 m² land size
1031,Upstate - Dee Why,"7402/2-10 Mooramba Road, Dee Why","$785,000 - $840,000",Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1032,Highland Property Agents  - CRONULLA,"16 Harris Street, Burraneer","For Sale $1,750,000 - $1,850,000",Duplex/Semi-detached,3 bedrooms,3 bathrooms,1 parking space,N/A
1033,Harcourts - Parramatta,"39 Morella Ave, Sefton",Auction,House,3 bedrooms,1 bathroom,0,564 m² land size
1034,Stone Real Estate - Hunter Valley,"119 Aberdare Street, Kurri Kurri","$365,000",House,3 bedrooms,1 bathroom,1 parking space,449 m² land size
1035,Guardian Realty - Dural,"103 Barry Road, Kellyville",Just Listed,House,5 bedrooms,3 bathrooms,2 parking spaces,N/A
1036,One Agency - Menai Engadine,"13/4 Owen Jones Row, Menai",AUCTION UNLESS SOLD PRIOR,Townhouse,3 bedrooms,1 bathroom,1 parking space,N/A
1037,One Agency - Menai Engadine,"13/4 Owen Jones Row, Menai",AUCTION UNLESS SOLD PRIOR,Townhouse,3 bedrooms,1 bathroom,1 parking space,N/A
1038,Di Jones Eastern Suburbs,"6/29 William Street, Rose Bay",Auction,Apartment,2 bedrooms,1 bathroom,2 parking spaces,N/A
1039,McConnell Bourn - Lindfield,"66/2 Artarmon Road, Willoughby",Auction Sat 2nd Feb 9.45am,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1040,Paul Pace Country - Double Bay,"Address available on request, Cattai","$12,000,000",Other,0,0,0,52 ha land size
1041,The Agency - North,"20/94A Spofforth Street, Cremorne",Contact Agent,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1042,Ray White - South Penrith ,"26/37 Mulgoa Road, Penrith","$265,000 - $285,000",Unit,2 bedrooms,1 bathroom,0,N/A
1043,Ray White - Pennant Hills,"5 Arundel Way, Cherrybrook","Auction, unless sold prior",House,4 bedrooms,3 bathrooms,4 parking spaces,450 m² land size
1044,Ray White - Macarthur Group,"16 Dunkeld Place, St Andrews","$599,950",House,4 bedrooms,2 bathrooms,0,653 m² land size
1045,Ray White - Wollongong,"56 Duff Parade, East Corrimal",Contact Agent,House,3 bedrooms,1 bathroom,1 parking space,N/A
1046,Ray White Turramurra | Wahroonga -   ,"10 Havilah Avenue, Wahroonga",Auction 9 February 2019,House,4 bedrooms,1 bathroom,1 parking space,N/A
1047,Ray White Turramurra | Wahroonga -   ,"5 Lochville Street, Wahroonga",Auction 9 February 2019,House,3 bedrooms,1 bathroom,1 parking space,N/A
1048,Ray White Turramurra | Wahroonga -   ,"19 Edwards Road, Wahroonga",Auction 9 February 2019,House,2 bedrooms,1 bathroom,1 parking space,N/A
1049,Ray White Turramurra | Wahroonga -   ,"41 Woodbine Avenue, Normanhurst",Auction 9 February 2018,House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1050,Ray White AY Realty Chatswood,"308B/3-7 Lorne Avenue, Killara",For Sale - Contact Andy Yeung,Unit,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1051,Century 21 - Rouse Hill,"15 Wyndham Glade, The Ponds",For Sale,House,4 bedrooms,2 bathrooms,2 parking spaces,359 m² land size
1052,Chincogan Real Estate - Mullumbimby,"8 Gilba Avenue, Ocean Shores","$669,000",House,3 bedrooms,1 bathroom,1 parking space,904 m² land size
1053,Est Agents Sydney Pty Limited - CABRAMATTA,"3/35 Garden Street, Belmore","$417,000",Unit,2 bedrooms,1 bathroom,1 parking space,55 m² building size
1054,Belle Property - Mona Vale,"11/143-145 Darley Street West, Mona Vale","Guide: $1,600,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1055,Highland Property Agents  - CRONULLA,"16/3-7 Nerang Road, Cronulla","For Sale - $925,000",Apartment,2 bedrooms,1 bathroom,2 parking spaces,N/A
1056,Chapman Real Estate - Glenbrook,"78 Great Western Highway, Blaxland",Awaiting Price Guide,House,3 bedrooms,1 bathroom,2 parking spaces,"1,088 m² land size"
1057,Village Property Estate Agents - Sydney,"C101/2-22 Birdwood Avenue, Lane Cove",Contact Agent,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1058,Richardson & Wrench - Campbelltown,"31/17-21 Poplar Crescent, Bradbury","$550,000 - $590,000",House,4 bedrooms,3 bathrooms,2 parking spaces,302 m² land size
1059,Waratah Estate Agents - Blacktown,"Lot 42, Sydney Street, Riverstone",JUST LISTED !!,Residential Land,0,0,0,N/A
1060,Ausrealty - Carlingford,"14 Roselea Way, Beecroft","Price guide $2,000,000",House,6 bedrooms,4 bathrooms,2 parking spaces,874 m² land size
1061,Phillips Pantzer Donnelley - WOOLLAHRA,"2/29 Dudley Street, Coogee",AUCTION,Apartment,3 bedrooms,1 bathroom,0,N/A
1062,Phillips Pantzer Donnelley - WOOLLAHRA,"1/35 Byron Street, Coogee",Buyers Guide: $750K,Apartment,1 bedroom,1 bathroom,0,N/A
1063,Belle Property - Lane Cove,"38/45 Chandos Street, St Leonards",Contact Agent,Apartment,2 bedrooms,2 bathrooms,0,N/A
1064,Laing+Simmons - Penrith,"36/10 Abraham Street, Rooty Hill","$550,000",Townhouse,4 bedrooms,2 bathrooms,4 parking spaces,N/A
1065,Wiseberry Tumbi Umbi,"8A Kalulah Avenue, Gorokan","$535,000",House,3 bedrooms,2 bathrooms,1 parking space,N/A
1066,First National - Ulladulla,"8 Waterview Close, Lake Conjola","$660,000",House,4 bedrooms,3 bathrooms,3 parking spaces,763 m² land size
1067,Wiseberry Tumbi Umbi,"8 Kalulah Avenue, Gorokan","$535,000",House,3 bedrooms,2 bathrooms,1 parking space,N/A
1068,Ray White Projects - SYDNEY,"401/7-9 Acton Street, Sutherland","$709,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1069,Stone Real Estate - Hunter Valley,"137 Dry Creek Road, Ellalong","$1,250,000 - $1,350,000",Other,5 bedrooms,2 bathrooms,5 parking spaces,40 ha land size
1070,Emprise Property - LIVERPOOL,"1/19 Porthedland Road, Edmondson Park","$720,000",Duplex/Semi-detached,4 bedrooms,2 bathrooms,2 parking spaces,20 m² building size
1071,The Property Market - Central Coast,"39 Bomaderry Crescent, Glenning Valley","Guide $575,000",House,3 bedrooms,1 bathroom,1 parking space,597 m² land size
