,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
97,Century 21 Novocastrian - Newcastle            ,"12 Liguori Court, Mayfield",PREVIEW,House,4 bedrooms,3 bathrooms,2 parking spaces,510 m² land size
98,My Property Consultants - Picton,"28 Epping Forest Drive, Eschol Park","$589,000 - $619,000",House,4 bedrooms,1 bathroom,2 parking spaces,N/A
99,My Property Consultants - Picton,"9 Harris Street, Camden Park","$1,125,000 - $1,175,000",House,6 bedrooms,3 bathrooms,2 parking spaces,700 m² land size
100,McGrath - Avalon,"11 Tasman Road, Avalon Beach",Contact Agent,House,7 bedrooms,3 bathrooms,2 parking spaces,"1,115 m² land size"
101,Lister & Cole Estate Agents - Springwood,"34 Shirlow Avenue, Faulconbridge","$640,000 - $665,000",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
102,Ray White - Figtree,"802/16 Burelli Street, Wollongong","$780,000 - $840,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,120 m² building size
103,HARCOURTS GEORGES RIVER - PENSHURST,"60 George Street, South Hurstville",Auction,House,3 bedrooms,1 bathroom,1 parking space,535 m² land size
104,Laing+Simmons - Wentworthville,"28A Chelmsford Road, South Wentworthville",Auction If Not Sold Prior,House,4 bedrooms,1 bathroom,2 parking spaces,N/A
105,Starr Partners - Pemulwuy,"66 Dawn Street, Greystanes",AUCTION,House,4 bedrooms,1 bathroom,3 parking spaces,556.4 m² land size
106,Jervis Bay Properties - Huskisson,"1/42 Elizabeth Drive, Vincentia","$995,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,282 m² building size
107,Lister & Cole Estate Agents - Springwood,"107 Buena Vista Road, Winmalee","$779,950 - $810,000",House,3 bedrooms,2 bathrooms,2 parking spaces,"2,466 m² land size"
108,Elders Real Estate  - Penrith,"4 GRAHAM PLACE, Silverdale","$699,000 - $749,000",House,4 bedrooms,2 bathrooms,1 parking space,979 m² land size
109,Anthony Trees First National - Eastwood,"2/23 Balaclava Road, Eastwood","FOR SALE $1,100,000 - $1,150,000",Villa,3 bedrooms,2 bathrooms,2 parking spaces,N/A
110,Coolangatta/Tweed Heads Realty - COOLANGATTA,"9/7 Margaret Street, Tweed Heads","$649,000 - $669,000",Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
111,McGrath Ryde - RYDE,"5a Gallard Street, Denistone East","Price guide $1,480,000",Duplex/Semi-detached,4 bedrooms,2 bathrooms,2 parking spaces,N/A
112,McGrath Ryde - RYDE,"B809/6 Nancarrow Avenue, Ryde","$600,000 - $650,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
113,McGrath - Manly,"6/9 Rowe Street, Freshwater","Price guide $595,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
114,McGrath Ryde - RYDE,"32 Trumper Street, Ermington",Contact Agent,House,3 bedrooms,1 bathroom,2 parking spaces,N/A
115,McGrath - NEW LAMBTON,"64 Callan Avenue, Maryland","$560,000 - $590,000",House,4 bedrooms,2 bathrooms,2 parking spaces,654 m² land size
116,McGrath Ryde - RYDE,"81/141 Bowden Street, Meadowbank","$750,000 - $825,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
117,McGrath Rouse Hill - Rouse Hill,"2 Gala Street, Box Hill","$840,000 - $880,000",House,4 bedrooms,2 bathrooms,2 parking spaces,308 m² land size
118,McGrath Estate Agents - Sawtell,"2/6 Moller Drive, Sawtell","$549,000",Villa,2 bedrooms,1 bathroom,1 parking space,N/A
119,McGrath - Coogee,"8G/4 Bligh Place, Randwick","Price guide $875,000",Unit,3 bedrooms,2 bathrooms,1 parking space,119 m² land size
120,McGrath - Castle Hill,"30 Lisa Crescent, Castle Hill",Contact Agent,House,7 bedrooms,5 bathrooms,5 parking spaces,N/A
121,McGrath - Castle Hill,"11/105-107 Hammers Road, Northmead","Price guide $650,000",Villa,3 bedrooms,1 bathroom,2 parking spaces,N/A
122,McGrath - Castle Hill,"8 Elliott Place, Baulkham Hills","Price guide $1,250,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
123,McGrath - Parramatta,"4 Leopold Street, Merrylands","Price guide $1,150,000 - $1,250,000",House,5 bedrooms,3 bathrooms,2 parking spaces,N/A
124,McGrath - Terrigal,"80 Melville Street, Kincumber","$850,000 - $900,000",House,5 bedrooms,3 bathrooms,2 parking spaces,N/A
125,McGrath - Edgecliff,"99 Schofields Lane, Berry","$3,000,000",House,5 bedrooms,3 bathrooms,3 parking spaces,N/A
126,LJ Hooker - Newport,"70 Foamcrest Avenue, Newport",Price Guide $1.8m,House,4 bedrooms,3 bathrooms,2 parking spaces,558 m² land size
127,BadgerFox,"33 Flinton Street, Paddington",AUCTION,House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
128,Firstyle Homes - FIRSTYLE HOMES,"Lot 311 Limestone Avenue, Spring Farm","$669,900",House,4 bedrooms,2 bathrooms,2 parking spaces,440 m² land size
129,Firstyle Homes - FIRSTYLE HOMES,"Lot 4297 McDermott Street, Leppington","$599,900",House,3 bedrooms,2 bathrooms,1 parking space,250 m² land size
130,LJ Hooker - Oran Park,"12 Toovey Avenue, Oran Park","$790,000 - $840,000",House,4 bedrooms,3 bathrooms,2 parking spaces,N/A
131,Firstyle Homes - FIRSTYLE HOMES,"Lot 561 Veron Road, Schofields","$699,900",House,4 bedrooms,2 bathrooms,2 parking spaces,304.7 m² land size
132,Belle Property - Charlestown,"29 Rothbury Street, Eleebana",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,583 m² land size
133,Eser Property,"24 Doust Street, Bass Hill",AUCTION,House,3 bedrooms,1 bathroom,2 parking spaces,"1,020 m² land size"
134,Firstyle Homes - FIRSTYLE HOMES,"Lot 213 Proposed Road, Austral","$625,900",House,4 bedrooms,2 bathrooms,1 parking space,310.5 m² land size
