,Address,Price,Bedroom,Bathroom,Carpark,Area
109,"78 TANDORA STREET, Kelso NSW 2795",For Auction (if not sold prior),5 Beds,4 Baths,6 Parkings,"1,077m² "
110,"46 Kearsley Street, Bellbird NSW 2325","$620,000 - $650,000",5 Beds,2 Baths,4 Parkings,930.8m² 
111,"9 Metcalf Street, Googong NSW 2620","$620,000",3 Beds,2 Baths,2 Parkings,412m² 
112,"5 Tagu Place, Kings Park NSW 2148","Price | $645,000 - $695,00",3 Beds,3 Baths,2 Parkings,N/A
113,"70 Colo Street, Mittagong NSW 2575",Contact Agent,3 Beds,1 Bath,3 Parkings,"2,053m² "
114,"6 Mahogany Hill, Port Macquarie NSW 2444",Price on request,3 Beds,2 Baths,2 Parkings,"1,018m² "
115,"4 Campus Street, Port Macquarie NSW 2444","$595,000",4 Beds,2 Baths,2 Parkings,570m² 
116,"7/35 Oaks Avenue, Dee Why NSW 2099","For Sale | Guide $595,000",2 Beds,1 Bath,1 Parking,N/A
117,"10 Lisa Place, Sunshine Bay NSW 2536","$590,000",4 Beds,2 Baths,2 Parkings,"1,184m² "
118,"24 Naylor Street, Queanbeyan NSW 2620","$560,000 - $580,000",3 Beds,1 Bath,3 Parkings,681m² 
119,"39 Pyalla Avenue, Aberglasslyn NSW 2320","$579,000",4 Beds,2 Baths,3 Parkings,839.1m² 
120,"83 DARWIN DRIVE, Llanarth NSW 2795","$579,000",4 Beds,2 Baths,2 Parkings,901m² 
121,"33/173a Reservoir Road, Blacktown NSW 2148",Offer Invited,3 Beds,1 Bath,1 Parking,N/A
122,"1-3/30 Coolum Parkway, Shell Cove NSW 2529","Price Guide $570,000 - $610,000",3 Beds,2 Baths,2 Parkings,N/A
123,"572 Whinray Crescent, East Albury NSW 2640",Forthcoming Sale,4 Beds,2 Baths,2 Parkings,687m² 
124,"98 Lieutenant Bowen Road, Bowen Mountain NSW 2753",Just Listed,3 Beds,1 Bath,2 Parkings,689.2m² 
125,"1/9 Gurra Place, Port Macquarie NSW 2444",Price on request,3 Beds,2 Baths,2 Parkings,N/A
126,"8 Yuroka Close, North Gosford NSW 2250",Just Listed,3 Beds,2 Baths,2 Parkings,615m² 
127,"34 Rays Road, Bateau Bay NSW 2261","Price Guide of $549,000",2 Beds,1 Bath,1 Parking,556m² 
128,"13 Lavender Court, St Helens Park NSW 2560","Auction, price  guide $550,000",3 Beds,1 Bath,4 Parkings,614m² 
129,"53 Devitt Crescent, The Oaks NSW 2570","$549,990 - $579,990",3 Beds,1 Bath,1 Parking,456m² 
130,"5 Bodalla  Avenue, Port Macquarie NSW 2444","$540,000 - $560,000",3 Beds,2 Baths,2 Parkings,754m² 
131,"205/43 Devitt Street, Blacktown NSW 2148",Just Listed,2 Beds,2 Baths,2 Parkings,N/A
132,"22/171 Willarong Road, Caringbah NSW 2229","$525,000",2 Beds,1 Bath,1 Parking,79.7m² 
133,"80 Victoria Street, Katoomba NSW 2780","$505,000",3 Beds,2 Baths,1 Parking,557m² 
134,"90 Rawson Parade, Leura NSW 2780","$500,000 - $540,000",3 Beds,1 Bath,1 Parking,"2,014m² "
135,"8/151-153 Cox Avenue, Penrith NSW 2750","$499,000",3 Beds,2 Baths,2 Parkings,N/A
136,"6 Walmer Avenue, Sanctuary Point NSW 2540","$499,000",3 Beds,1 Bath,1 Parking,752.46m² 
137,"165 Cameron Road, Queanbeyan NSW 2620",By Negotiation,4 Beds,2 Baths,1 Parking,601m² 
138,Penrith NSW 2750,JUST LISTED by RE/MAX,2 Beds,2 Baths,1 Parking,N/A
139,"89 Breckenridge Street, Forster NSW 2428","$495,000",3 Beds,2 Baths,2 Parkings,626m² 
140,"6/5-7 Wheeler Parade, Dee Why NSW 2099","Price Guide: $490,000",1 Bed,1 Bath,1 Parking,56m² 
141,"12/77 Pacific  Parade, Dee Why NSW 2099","Guide $490,000",1 Bed,1 Bath,1 Parking,57m² 
142,"58 Litchfield Crescent, Long Beach NSW 2536","$490,000 - $520,000",3 Beds,2 Baths,1 Parking,666m² 
143,"543/2 Nipper  Street, Homebush NSW 2140",Contact Agent,1 Bed,1 Bath,1 Parking,N/A
144,"3 Arnold Street, Leumeah NSW 2560",Auction,3 Beds,1 Bath,2 Parkings,565.4m² 
145,"19/5-7 Wheeler Parade, Dee Why NSW 2099","Price Guide: $470,000",1 Bed,1 Bath,− 0 Parkings,N/A
146,"42 Jenny Wren Place, East Albury NSW 2640","$480,000",3 Beds,2 Baths,2 Parkings,785m² 
147,"7 Brownlow Place, Ambarvale NSW 2560","$460,000 to $490,000",3 Beds,1 Bath,1 Parking,610m² 
148,"97A St Helens Park Drive, St Helens Park NSW 2560","$460,000 - $490,000",3 Beds,1 Bath,1 Parking,413m² 
149,"105B/4 Buller Street, Port Macquarie NSW 2444","$449,000",2 Beds,1 Bath,1 Parking,N/A
150,"131 Congewai Street, Aberdare NSW 2325","$450,000  - $480,000",3 Beds,1 Bath,4 Parkings,N/A
151,"36a Green Street , Tamworth NSW 2340","$449,000",4 Beds,4 Baths,4 Parkings,872.6m² 
152,"6/142 South Street, Tuncurry NSW 2428","$445,000",2 Beds,2 Baths,1 Parking,N/A
153,"2/58 Thorpe Avenue, Queanbeyan NSW 2620","$430,000 - $440,000",3 Beds,2 Baths,2 Parkings,N/A
154,"1/12 Wray Street, North Batemans Bay NSW 2536","$425,000",3 Beds,2 Baths,1 Parking,375m² 
155,"201/80 John Whiteway Drive, Gosford NSW 2250","$420,000 - $460,000",3 Beds,2 Baths,2 Parkings,N/A
156,"25 St Fagans Parade, Rutherford NSW 2320","$399,000",3 Beds,1 Bath,2 Parkings,952m² 
157,"445/80 John Whiteway Drive, Gosford NSW 2250","$395,000 - $430,000",2 Beds,2 Baths,1 Parking,N/A
158,"2/2 Emily Avenue, Port Macquarie NSW 2444",Auction Rydges 7th February @6:00pm,3 Beds,1 Bath,2 Parkings,464m² 
159,"11 Hawkes Drive, Oberon NSW 2787","$390,000 - $420,000",4 Beds,2 Baths,2 Parkings,N/A
160,"12B Justine Parade, Rutherford NSW 2320","$385,000",3 Beds,1 Bath,1 Parking,524.7m² 
161,"11/122 Pacific Drive, Port Macquarie NSW 2444","Auction 17th February, Rydges at 11:00am",3 Beds,1 Bath,1 Parking,N/A
162,"Moora Street, South Tamworth NSW 2340","$365,000",3 Beds,1 Bath,4 Parkings,588m² 
163,"2207/2208 2 Resort Drive, Coffs Harbour NSW 2450","$360,000  - $380,000",2 Beds,2 Baths,1 Parking,N/A
164,"15/12-18 Newth Place, Surf Beach NSW 2536","$359,000",2 Beds,1 Bath,1 Parking,N/A
165,"11 Wickham Street, Tamworth NSW 2340","$359,000",4 Beds,2 Baths,2 Parkings,601m² 
166,"3/358 Townsend  Street, Albury NSW 2640","$350,000",2 Beds,1 Bath,1 Parking,274m² 
167,"210 Mathieson Street, Bellbird Heights NSW 2325","$349,000",3 Beds,1 Bath,2 Parkings,597m² 
168,"18 ALAMEIN WALK, West Bathurst NSW 2795","$339,000",3 Beds,1 Bath,2 Parkings,436m² 
169,"310 STEWART STREET, Bathurst NSW 2795","$339,000",3 Beds,1 Bath,1 Parking,613m² 
170,"15 BEDDIE STREET, West Bathurst NSW 2795","$329,000",3 Beds,1 Bath,1 Parking,487m² 
171,"2 Stafford Street, Gundagai NSW 2722","$312,000",4 Beds,2 Baths,3 Parkings,N/A
172,"21B Woodlands Drive, Hallidays Point NSW 2430","$295,000","4,001m² ",N/A,0,N/A
173,"14/12 Waniassa Street, Queanbeyan East NSW 2620","$260,000 - $275,000",1 Bed,1 Bath,1 Parking,N/A
174,"26/37 Mulgoa Road, Penrith NSW 2750","$265,000 - $285,000",2 Beds,1 Bath,− 0 Parkings,N/A
175,"5/39 Thuralilly Street, Queanbeyan NSW 2620","$245,000",2 Beds,1 Bath,1 Parking,N/A
176,"Unit 4/104 Henderson Road, Crestwood NSW 2620","$235,000",2 Beds,1 Bath,1 Parking,N/A
177,"24/18-20 Booth Street, Queanbeyan East NSW 2620","$235,000 - $245,000",2 Beds,1 Bath,1 Parking,N/A
178,"1/13 Gilmore Place, Queanbeyan NSW 2620","$220,000",1 Bed,1 Bath,1 Parking,N/A
179,"182 Punch Street, Gundagai NSW 2722","$215,000",3 Beds,1 Bath,3 Parkings,N/A
180,"4/38 Hickey Street, Cessnock NSW 2325","$200,000",2 Beds,1 Bath,− 0 Parkings,N/A
181,"17 Edith St, West Tamworth NSW 2340","$179,000",3 Beds,1 Bath,1 Parking,N/A
182,"4/30-34 River Street, Oaks Estate ACT 2620","$170,000-$179,000",1 Bed,1 Bath,1 Parking,N/A
183,"9-25  commonwealth street, Sydney NSW 2000",Contact Agent,5 Beds,5 Baths,3 Parkings,N/A
184,"9-25 commonwealth street, Sydney NSW 2000",Contact Agent,3 Beds,2 Baths,1 Parking,N/A
185,"9-25 commonwealth street, Sydney NSW 2000",Contact Agent,2 Beds,2 Baths,− 0 Parkings,N/A
186,"9-25  commonwealth street, Sydney NSW 2000",Contact Agent,1 Bed,1 Bath,− 0 Parkings,N/A
187,"31a Yeramba Avenue, Caringbah South NSW 2229","Auction, unless sold prior",4 Beds,3 Baths,2 Parkings,N/A
188,"1 Mooltan Avenue, Macquarie Park NSW 2113",Contact Agent,2 Beds,2 Baths,1 Parking,N/A
189,"1 Mooltan Avenue, Macquarie Park NSW 2113",Contact Agent,1 Bed,1 Bath,1 Parking,N/A
190,"1 Mooltan Avenue, Macquarie Park NSW 2113",Contact Agent,1 Bed,1 Bath,− 0 Parkings,N/A
191,"901/1 Delhi Road, North Ryde NSW 2113",Contact Agent,3 Beds,2 Baths,2 Parkings,N/A
192,"1109/5 Delhi Road, North Ryde NSW 2113",Contact Agent,2 Beds,2 Baths,1 Parking,N/A
193,"CN5123 Fairwater Boulevard, Blacktown NSW 2148","$1,054,000",4 Beds,2 Baths,2 Parkings,N/A
194,"CN3303 Fairwater Boulevard, Blacktown NSW 2148","$932,000",4 Beds,3 Baths,2 Parkings,N/A
195,"CN3304 Fairwater Boulevard, Blacktown NSW 2148","$857,000",4 Beds,3 Baths,2 Parkings,N/A
196,"CN4314 Wedge Glade, Blacktown NSW 2148","$718,000",3 Beds,2 Baths,1 Parking,N/A
197,"8 Beckingham Road, Tumbi Umbi NSW 2261","$989,000",4 Beds,2 Baths,2 Parkings,N/A
198,"9-17 Howard Avenue, Dee Why NSW 2099","From $985,000 to $1,660,000",3 Beds,2 Baths,1 Parking,N/A
199,"9-17 Howard Avenue, Dee Why NSW 2099","From $890,000 to $1,765,000",2 Beds,2 Baths,1 Parking,N/A
